Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Linkedin,Unique Segmento,Contagem de Segmento,Top Segmentos,
Mobiis,MOBIIS SERVICOS DE TECNOLOGIA E PARTICIPACOES S.A.,51.733.149/0001-10,"53,807,960.00",10 – 100 milhões,Consultoria em tecnologia da informação,123.00,51–200,"Campinas, São Paulo, Brazil","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Human Resources'],https://www.linkedin.com/company/mobiissolucoes,Web desing,1,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",1
Join LinkedIn,INFNET EDUCACAO S.A,,"2,600,000.00",1 – 10 milhões,Educação superior - graduação e pós-graduação,Não encontrado,+10000,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],https://www.linkedin.com/school/instituto-infnet/,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",1,Pesquisas de mercado e de opinião pública,1
SRM ASSET,SRM ASSET MANAGEMENT GESTAO DE RECURSOS LTDA.,00.673.757/0001-46,"300,000.00",100 mil – 1 milhão,********,270.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Investment Management'}}],['Sales and Business Development'],https://www.linkedin.com/company/srmasset,Pesquisas de mercado e de opinião pública,1,Atividades de teleatendimento,1
Dobro,DOBRO COMERCIO DE ALIMENTOS E BEBIDAS LTDA,33.449.918/0001-71,"14,286.00",Até 100 mil,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,67.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Food & Beverages'}}],[],https://www.linkedin.com/company/soudobro,Atividades de teleatendimento,1,Comércio atacadista de artigos de escritório e de papelaria,1
Sem nome,,28.804.502/0001-94,,Até 100 mil,,143.00,51–200,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Finance'],https://www.linkedin.com/company/okay-network,Comércio atacadista de artigos de escritório e de papelaria,1,"Comércio atacadista de couros, lãs, peles e outros subprodutos não comestíveis de origem animal",1
EasyHire,EASY HIRE - GESTAO COMERCIAL E TREINAMENTO PROFISSIONAL LTDA,31.608.841/0001-00,"95,400.00",Até 100 mil,Promoção de vendas,24.00,11–50,"Barueri, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Engineering Services and Machinery Manufacturing'}}],['Manufacturing'],https://www.linkedin.com/company/easyhirings,"Comércio atacadista de couros, lãs, peles e outros subprodutos não comestíveis de origem animal",1,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,1
,ANALIX PERFORMANCE HUMANA LTDA,46.727.909/0001-47,"50,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,,,"Joinville, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Information Technology'],,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,1,"Comércio atacadista de sementes, flores, plantas e gramas",1
,REFERENCIAL MONTAGENS INDUSTRIAIS LTDA,04.788.920/0001-77,"2,000,000.00",1 – 10 milhões,Instalações de sistema de prevenção contra incêndio,,,"Caldas, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],['Other'],,"Comércio atacadista de sementes, flores, plantas e gramas",1,Serviços de comunicação multimídia - SCM,1
,FOX TIME PRESTACAO DE SERVICO E SERVICOS GERAIS LTDA,04.854.896/0001-27,"50,000.00",Até 100 mil,Fornecimento e gestão de recursos humanos para terceiros,,,Brazil,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Sales and Business Development'],,Serviços de comunicação multimídia - SCM,1,Estacionamento de veículos,1
Origimax,Não encontrado,17.746.524/0001-04,Não encontrado,Acima de 1 bilhão,Não encontrado,1.00,,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Management and Manufacturing'],https://www.linkedin.com/company/origimax,Estacionamento de veículos,1,,0
Sinergia Flow,SINERGIA FLOW DESENVOLVIMENTO HUMANO LTDA,41.367.854/0001-98,"10,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,3.00,,"Navegantes, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Human Resources Services'}}],[],https://www.linkedin.com/company/sinergia-flow,,,,
Stabia TMC,STABIA VIAGENS E TURISMO LTDA.,10.586.640/0001-89,"101,000.00",100 mil – 1 milhão,Agências de viagens,23.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],[],https://www.linkedin.com/company/stabia-tmc,,,,
,,Não encontrado,,Até 100 mil,,,,"João Pinheiro, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],['Sales and Business Development'],,,,,
,GUARD CENTER TECNOLOGIA EM SEGURANCA LTDA,18.556.125/0001-68,"500,000.00",100 mil – 1 milhão,Atividades de monitoramento de sistemas de segurança eletrônico,,,"Agudos, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Security Guards and Patrol Services'}}],['Management and Manufacturing'],,,,,
Swap,SWAP INSTITUICAO DE PAGAMENTO S.A.,31.680.151/0001-61,"145,149,515.00",100 milhões – 1 bilhão,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,183.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Accounting/Auditing'],https://www.linkedin.com/company/swapfinancial,,,,
Esenca Marketing & Communication,ESENCA MARKETING E COMUNICACAO LTDA,26.723.422/0001-89,"100,000.00",Até 100 mil,Outras atividades de publicidade não especificadas anteriormente,13.00,,"Osasco, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Public Relations and Communications Services'}}],"['Marketing, Public Relations, and Writing/Editing']",https://www.linkedin.com/company/esenca-mkt,,,,
Positiva Cobranças,POSITIVA COBRANCA EMPRESARIAL LTDA,49.625.461/0001-49,"10,000.00",Até 100 mil,Atividades de cobrança e informações cadastrais,19.00,,"Joinville, Santa Catarina, Brazil",[],[],https://www.linkedin.com/company/positiva-cobran%c3%a7as,,,,
Queensberry Viagens,QUEENSBERRY AGENCIA DE VIAGENS E TURISMO LTDA,45.575.958/0001-49,"2,000,000.00",1 – 10 milhões,Agências de viagens,100.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Management and Manufacturing'],https://www.linkedin.com/company/queensberryviagens,,,,
4.events,KODDEX SOLUCOES DIGITAIS LTDA,24.854.551/0001-80,"1,180,000.00",1 – 10 milhões,Desenvolvimento de programas de computador sob encomenda,63.00,,"Indaiatuba, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Events Services'}}],[],https://www.linkedin.com/company/4-events-oficial,,,,
Interplayers,INTERPLAYERS SOLUCOES INTEGRADAS SA,05.347.060/0001-07,"49,348,103.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,925.00,,"Ribeirão Preto, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/interplayers,,,,
Destrava - Creative Learning,DESTRAVA APRENDIZAGEM CRIATIVA LTDA,14.062.192/0001-75,"50,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,9.00,,"Sorocaba, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Professional Training and Coaching'}}],[],https://www.linkedin.com/company/destravaoficial,,,,
A3Data,A3 DATA CONSULTORIA S.A.,07.105.493/0001-73,"12,558.88",Até 100 mil,Consultoria em tecnologia da informação,147.00,,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/a3-data-consultoria,,,,
teceo,TECEO PLATAFORMA DIGITAL LTDA,42.378.502/0001-09,"5,880,000.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,41.00,,"Brasília, Federal District, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/teceo,,,,
FitBank,FITBANK INSTITUICAO DE PAGAMENTO S.A.,13.203.354/0001-85,"68,209,929.00",10 – 100 milhões,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,500.00,,"Goiânia, Goiás, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Human Resources'],https://www.linkedin.com/company/fitbank-450,,,,
ECO Automação Industrial,ECO AUTOMACAO INDUSTRIAL LTDA,11.953.410/0001-73,"10,000.00",Até 100 mil,Comércio atacadista de material elétrico,53.00,,"Joinville, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],[],https://www.linkedin.com/company/ecoautomacao,,,,
EMPREGARE.com,HERO TECNOLOGIA LTDA,23.073.946/0001-83,"460,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,18.00,,"Londrina, Paraná, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Other'],https://www.linkedin.com/company/empregare-com,,,,
Radartec,RADARTEC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,09.326.480/0001-50,"1,000.00",Até 100 mil,Consultoria em tecnologia da informação,3.00,,"Caratinga, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],https://www.linkedin.com/company/radartec,,,,
GrupoSITI,GRUPOSITI CONSULTORIA EMPRESARIAL LTDA,04.541.985/0001-13,"12,000.00",Até 100 mil,Seleção e agenciamento de mão-de-obra,12.00,,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],https://www.linkedin.com/company/grupositi,,,,
The Coffee,CAFE FRATELLI FRANQUEADORA LTDA,31.520.143/0001-58,"47,597,024.00",10 – 100 milhões,Gestão de ativos intangíveis não-financeiros,801.00,,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Food & Beverages'}}],[],https://www.linkedin.com/company/the-coffee-jp,,,,
WK Technology,CMK KOLOGESKI LTDA,45.009.766/0001-75,"10,000.00",Até 100 mil,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",36.00,,"Canoas, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Information Technology'],https://www.linkedin.com/company/wktechnology,,,,
,C.N INSTITUTO DERMATOLOGICO E DE AUXILIO DIAGNOSTICO LTDA,37.076.062/0001-97,"25,000.00",Até 100 mil,********,,,"São Paulo, São Paulo, Brazil",[],[],,,,,
Fits U,FITS U ALUGUEL E VENDA DE ROUPAS E ACESSORIOS LTDA,21.129.521/0001-13,"300,000.00",100 mil – 1 milhão,"Aluguel de objetos do vestuário, jóias e acessórios",23.00,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Retail Apparel and Fashion'}}],[],https://www.linkedin.com/company/fits-u,,,,
Executiva Contábil,EXECUTIVA CONTABILIDADE LTDA,16.615.484/0001-13,"94,000.00",Até 100 mil,Atividades de contabilidade,12.00,,"Goiânia, Goiás, Brazil",[{'job_industry_list': {'industry': 'Accounting'}}],['Other'],https://www.linkedin.com/company/executiva-cont%c3%a1bil,,,,
Cobalchini Contabilidade,COBALCHINI CONTABILIDADE LTDA,92.874.585/0001-97,0.00,Até 100 mil,Atividades de contabilidade,11.00,,"Caxias do Sul, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'Accounting'}}],['Accounting/Auditing and Finance'],https://www.linkedin.com/company/cobalchini-contabilidade,,,,
,WHY INFO PRODUTOS DE INFORMATICA LTDA,54.235.574/0001-78,"500,000.00",100 mil – 1 milhão,Comércio varejista especializado de equipamentos e suprimentos de informática,,,"Indaiatuba, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT System Training and Support'}}],['Other'],,,,,
,BIOMTECH SOLUCOES EM TECNOLOGIA S/A,30.254.598/0001-06,"7,170,287.00",1 – 10 milhões,Comércio atacadista de equipamentos de informática,,,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Management and Manufacturing'],,,,,
Primefy,PRIMEFY SERVICOS E TECNOLOGIA LTDA,33.363.041/0001-00,"20,000.00",Até 100 mil,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",26.00,,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Marketing and Sales'],https://www.linkedin.com/company/primefy,,,,
Black Dragons,BLACK DRAGONS E-SPORTS LTDA,27.572.898/0001-29,"405,000.00",100 mil – 1 milhão,Produção e promoção de eventos esportivos,27.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Public Relations and Communications Services'}}],['Other'],https://www.linkedin.com/company/blackdragonsesports,,,,
Decor Colors,DECOR COLORS TINTAS LTDA,19.082.242/0001-08,"200,000.00",100 mil – 1 milhão,"Fabricação de tintas, vernizes, esmaltes e lacas",273.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],['Marketing and Sales'],https://www.linkedin.com/company/decor-colors-oficial,,,,
Marshipping Transporte,MARSHIPPING SERVICOS MARITIMOS E TRANSPORTES LTDA.,03.015.818/0001-76,0.00,Até 100 mil,********,19.00,,"São Paulo, São Paulo, Brazil","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Business Development and Sales'],https://www.linkedin.com/company/marshippingtransporte,,,,
Conquest One,CONQUESTONE IT SERVICES BR LTDA.,01.802.155/0001-04,"500,000.00",100 mil – 1 milhão,Consultoria em tecnologia da informação,194.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/cq1,,,,
Qualitours Cruises & Tours,QUALITOURS AGENCIA DE VIAGENS E TURISMO LTDA,65.409.534/0001-11,"224,000.00",100 mil – 1 milhão,Agências de viagens,21.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Sales and Business Development'],https://www.linkedin.com/company/qualitours-cruises-tours,,,,
,CONSORCIO SMF / VEXPER,50.686.176/0001-17,0.00,Até 100 mil,Manutenção e reparação de veículos ferroviários,,,"Porto Alegre, Rio Grande do Sul, Brazil",[],['Management and Manufacturing'],,,,,
Tako,TAKO COZINHA CLOUD KITCHEN LTDA,36.688.873/0001-86,"50,000.00",Até 100 mil,"Lanchonetes, casas de chá, de sucos e similares",38.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/usetako,,,,
Arthrex GmbH,,Não encontrado,,Até 100 mil,,623.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Medical Equipment Manufacturing'}}],['Management and Manufacturing'],https://www.linkedin.com/company/arthrex-gmbh,,,,
,SOMARTE CONTABILIDADE LTDA,36.491.383/0001-95,"10,000.00",Até 100 mil,Atividades de contabilidade,,,"Agudos, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Business Development and Sales'],,,,,
i3C,I3C SOLUCOES EM TELEFONIA E COMUNICACAO LTDA,18.597.718/0001-72,"200,000.00",100 mil – 1 milhão,Comércio varejista especializado de equipamentos de telefonia e comunicação,31.00,,"Joinville, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/i3csolucoes,,,,
GoGood,GO GOOD SOFTWARES EMPRESARIAIS LTDA.,25.118.710/0001-41,"2,434,800.00",1 – 10 milhões,Atividades de condicionamento físico,42.00,,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],"['Marketing, Public Relations, and Writing/Editing']",https://www.linkedin.com/company/go-good,,,,
VOA Hotéis,VOA TRANSFORMACAO HOTELEIRA LTDA,33.840.462/0001-76,"400,000.00",100 mil – 1 milhão,Operadores turísticos,110.00,,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Hospitality'}}],['Management and Manufacturing'],https://www.linkedin.com/company/voa-hoteis,,,,
CAVEO,CAVEO TECNOLOGIA LTDA,41.042.624/0001-59,"649,000.00",100 mil – 1 milhão,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",94.00,,"São Paulo, São Paulo, Brazil","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Sales and Business Development'],https://www.linkedin.com/company/caveotecnologia,,,,
Koopere,KOOPERE COOPERATIVA DE TRABALHO DOS PROFISSIONAIS DE TECNOLOGIA DA INFORMACAO E SERVICOS,42.518.888/0001-07,"22,090.00",Até 100 mil,Consultoria em tecnologia da informação,60.00,,"Campinas, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/kooperecooperativa,,,,
North Star Network,NORTH STAR NETWORK S.A.S,48.585.205/0001-02,0.00,Até 100 mil,Holdings de instituições não-financeiras,177.00,,Brazil,"[{'job_industry_list': {'industry': 'Veterinary Services'}}, {'job_industry_list': {'industry': 'Media and Telecommunications'}}]",['Engineering and Information Technology'],https://www.linkedin.com/company/northstarnetwork,,,,
SalesHunter,SALESHUNTER LTDA,28.773.565/0001-20,"1,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,42.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Staffing and Recruiting'}}],['Sales and Business Development'],https://www.linkedin.com/company/saleshunter,,,,
LPG FOODS,LPG INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,07.386.963/0001-14,"1,000,000.00",100 mil – 1 milhão,Fabricação de outros produtos alimentícios não especificados anteriormente,39.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],[],https://www.linkedin.com/company/lpgfoods,,,,
Aramis,VCI VANGUARD CONFECCOES IMPORTADAS S.A.,00.311.557/0001-43,"18,992,471.00",10 – 100 milhões,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança","1,527.00",,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],https://www.linkedin.com/company/aramis,,,,
MedCof,MEDCOF EDUCACAO S.A.,34.185.732/0001-15,"2,251,309.00",1 – 10 milhões,Cursos preparatórios para concursos,215.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Marketing Services'}}],['Strategy/Planning and Marketing'],https://www.linkedin.com/company/medcof,,,,
Unit,SOCIEDADE DE EDUCACAO TIRADENTES S.A,13.013.263/0001-87,"65,890,747.17",10 – 100 milhões,Educação superior - graduação e pós-graduação,164.00,,"Vitória, Espírito Santo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Education and Training'],https://www.linkedin.com/company/unit-beneficios,,,,
Textil-,TEXTIL BRASIL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,42.711.343/0001-04,"50,000.00",Até 100 mil,Fabricação de artefatos têxteis para uso doméstico,"2,716.00",,"Santo André, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Leather Product Manufacturing'}}],['Other'],https://www.linkedin.com/company/textil-,,,,
Esfera Energia,ESFERA COMERCIALIZADORA DE ENERGIA LTDA,26.940.979/0001-71,"28,400,000.00",10 – 100 milhões,Comércio atacadista de energia elétrica,116.00,,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Oil and Gas'}}],['Analyst'],https://www.linkedin.com/company/esfera-energia-consultoria-e-gest%c3%a3o-de-energia-ltda,,,,
Biosanté,ALVES EMPREENDIMENTOS DIGITAIS E PRODUTOS LTDA,28.355.728/0001-55,"200,000.00",100 mil – 1 milhão,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,25.00,,Brazil,[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],"['Marketing, Public Relations, and Writing/Editing']",https://www.linkedin.com/company/biosante-br,,,,
Verum Partners,VERUM PARTNERS ENGENHARIA E CONSULTORIA EMPRESARIAL LTDA,29.149.844/0001-80,"1,047,779.00",1 – 10 milhões,Serviços de engenharia,156.00,,Brazil,[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Education and Training'],https://www.linkedin.com/company/verumpartners,,,,
Maxxi,MAXXI AUTOMOVEIS COMERCIO E INTERMEDIACAO DE VEICULOS LTDA,03.110.138/0001-31,0.00,Até 100 mil,"Comércio a varejo de automóveis, camionetas e utilitários usados",492.00,,"Presidente Dutra, Maranhão, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Product Management and Marketing'],https://www.linkedin.com/company/maxxidata,,,,
Creditsec,CREDITCORP SECURITIZADORA S.A.,49.947.676/0001-86,"500,000.00",100 mil – 1 milhão,Securitização de créditos,6.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Management and Manufacturing'],https://www.linkedin.com/company/creditsec,,,,
Hunter Hunter - Talents Hunting,,Não encontrado,,Até 100 mil,,18.00,,"Barueri, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/hunterhuntertalentos,,,,
,SMF-CONSULTORES ASSOCIADOS LTDA,79.984.985/0008-63,"470,000.00",100 mil – 1 milhão,********,,,"Porto, Piauí, Brazil",[{'job_industry_list': {'industry': 'Commercial and Service Industry Machinery Manufacturing'}}],['Management and Manufacturing'],,,,,
Sqala,SQALAPAY PAGAMENTOS LTDA,49.618.422/0001-14,"1,701,000.00",1 – 10 milhões,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",27.00,,Brazil,[{'job_industry_list': {'industry': 'Financial Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/sqalatech,,,,
Pulsus,,14.597.970/0001-20,,Até 100 mil,,126.00,,Brazil,[{'job_industry_list': {'industry': 'Software Development'}}],['Accounting/Auditing and Finance'],https://www.linkedin.com/company/pulsusmobi,,,,
Insiderbits,,Não encontrado,,Até 100 mil,,8.00,,Brazil,"[{'job_industry_list': {'industry': 'Technology, Information and Media'}}]","['Marketing, Public Relations, and Writing/Editing']",https://www.linkedin.com/company/insiderbits,,,,
Nação Fluente,,Não encontrado,,Até 100 mil,,28.00,,Brazil,[{'job_industry_list': {'industry': 'Language Schools'}}],['Education and Training'],https://www.linkedin.com/company/nacaofluente,,,,
Money Times,MDM SOLUCOES LTDA,,"362,010.00",100 mil – 1 milhão,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",45.00,,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Broadcast Media Production and Distribution'}}],['Writing/Editing'],https://www.linkedin.com/company/moneytimes,,,,
Tecnolokid,TECNOLOKID EDUCATION LTDA,32.247.998/0001-10,"100,000.00",Até 100 mil,Outras atividades de ensino não especificadas anteriormente,7.00,,"Aracruz, Espírito Santo, Brazil",[{'job_industry_list': {'industry': 'Education'}}],[],https://www.linkedin.com/company/tecnolokid,,,,
,TINA CONSTANTINE LTDA,54.935.715/0001-65,"150,000.00",100 mil – 1 milhão,********,,,"Goiânia, Goiás, Brazil",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],['Sales and Business Development'],,,,,
Ecom,ECOM ENERGIA LTDA.,05.352.237/0001-55,"30,000,000.00",10 – 100 milhões,Comércio atacadista de energia elétrica,283.00,,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Electric Power Generation'}}],['Administrative and Human Resources'],https://www.linkedin.com/company/ecom-energia,,,,
WideStock,WIDE STOCK COMERCIO E DISTRIBUICAO LTDA,11.699.331/0001-88,"5,000,000.00",1 – 10 milhões,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada",31.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],https://www.linkedin.com/company/widestock,,,,
Portábilis,PORTABILIS TECNOLOGIA LTDA,11.258.607/0001-92,"100,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,35.00,,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/portabilis-tecnologia,,,,
RHBrasil Recursos Humanos,RECURSOS HUMANOS DO BRASIL LTDA,00.868.199/0001-74,"110,000.00",100 mil – 1 milhão,Seleção e agenciamento de mão-de-obra,615.00,,"Campinas, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Human Resources'}}],['Management and Manufacturing'],https://www.linkedin.com/company/gruporhbrasil,,,,
PsicoManager,PSICO GESTOR TECNOLOGIA LTDA,29.983.313/0001-99,"500,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,81.00,,"Uberlândia, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Marketing'],https://www.linkedin.com/company/psicomanager,,,,
,ADVANCED GOVERNANCA CONDOMINIAL LTDA,20.919.110/0001-69,"93,700.00",Até 100 mil,Gestão e administração da propriedade imobiliária,,,"Itajaí, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Residential Building Construction'}}],['Sales and Business Development'],,,,,
,CRIOLA,73.514.044/0001-03,0.00,Até 100 mil,Atividades de associações de defesa de direitos sociais,,,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Hospitals and Health Care and Civic and Social Organizations'}}],"['Finance, Accounting/Auditing, and Administrative']",,,,,
RARA IMÓVEIS,RARA IMOVEIS LTDA,13.777.273/0001-99,"1,000.00",Até 100 mil,Corretagem na compra e venda e avaliação de imóveis,5.00,,"São Bernardo do Campo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Real Estate'}}],['Administrative'],https://www.linkedin.com/company/raraimoveis,,,,
Hubnexxo,HUBNEXXO CONSULTORIA EMPRESARIAL LTDA,16.874.203/0001-47,"50,000.00",Até 100 mil,Atividades de contabilidade,58.00,,"Salvador, Bahia, Brazil",[{'job_industry_list': {'industry': 'Accounting'}}],['Administrative'],https://www.linkedin.com/company/hubnexxo,,,,
Empresa Confidencial,CONFIDENCIAL ASSESSORIA EMPRESARIAL LTDA,00.849.492/0001-94,"240,000.00",100 mil – 1 milhão,Atividades de contabilidade,"6,587.00",,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Marketing and Sales'],https://www.linkedin.com/company/empresa-confidencial,,,,
Seu Dinheiro,SEU DINHEIRO PUBLICACOES LTDA,33.523.405/0001-63,0.00,Até 100 mil,********,35.00,,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Online Media'}}],['Writing/Editing'],https://www.linkedin.com/company/seudinheiro,,,,
Confins Transportes,CONFINS TRANSPORTES LTDA,64.294.325/0001-07,"3,120,000.00",1 – 10 milhões,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2.00,,Brazil,"[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Management and Manufacturing'],https://www.linkedin.com/company/confins-transportes,,,,
Vetorlog,VETOR LOGISTICA DE DADOS LTDA,04.684.417/0001-71,"300,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,30.00,,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Management and Manufacturing'],https://www.linkedin.com/company/vetorlog,,,,
