Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Linkedin,Unique Segmento,Contagem de Segmento,Top Segmentos,
Develcode,DEVELCODE INFORMATICA LTDA,01.168.581/0001-38,"500,000.00",100 mil – 1 milhão,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",114.00,51–200,"Caxias do Sul, Rio Grande do Sul, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Administrative'],https://www.linkedin.com/company/develcode,Não encontrado,1,Locação de automóveis sem condutor,1
"OCL-Olivieri, Carvalho & Lievori Advogados Associados","OLIVIERI, CARVALHO E LIEVORI ADVOGADOS ASSOCIADOS",48.397.969/0001-74,"18,000.00",Até 100 mil,Serviços advocatícios,127.00,51–200,"Vitoria, Brazil Metropolitan Area",[{'job_industry_list': {'industry': 'Legal Services'}}],['Administrative'],https://www.linkedin.com/company/ocl-advogados-associados,Atividades de monitoramento de sistemas de segurança eletrônico,1,Promoção de vendas,1
tmdigital.ag,TMDIGITAL MARKETING E SOFTWARE LTDA,22.610.500/0001-88,"15,000.00",Até 100 mil,Marketing direto,26.00,11–50,Brazil,[{'job_industry_list': {'industry': 'Financial Services'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/tmdigital-ag,Outras atividades de publicidade não especificadas anteriormente,1,Instalações de sistema de prevenção contra incêndio,1
Vórtx,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,17.455.912/0001-50,"8,688,388.00",1 – 10 milhões,Distribuidoras de títulos e valores mobiliários,299.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/v%c3%b3rtx-distribuidora-de-t%c3%adtulos-e-valores-mobili%c3%a1rios-ltda-,Atividades de cobrança e informações cadastrais,1,Fornecimento e gestão de recursos humanos para terceiros,1
Buson,BUSON VIAGENS LTDA,35.365.488/0001-35,"12,966,981.16",10 – 100 milhões,Agências de viagens,92.00,51–200,"São José dos Campos, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Customer Service and Information Technology'],https://www.linkedin.com/company/buson-brasil,Comércio atacadista de material elétrico,1,Não encontrado,1
MORFO,MORFO BRASIL UNIPESSOAL LTDA,35.365.488/0001-35,"305,000.00",100 mil – 1 milhão,Conservação de florestas nativas,50.00,11–50,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Environmental Services'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/morforest,Seleção e agenciamento de mão-de-obra,4,Atividades de monitoramento de sistemas de segurança eletrônico,1
Gilbarco Veeder-Root Latin America,GILBARCO VEEDER-ROOT SOLUCOES INDUSTRIA E COMERCIO LTDA,04.893.402/0001-13,"159,638,759.00",100 milhões – 1 bilhão,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",147.00,51–200,"Barueri, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Oil and Gas'}}],['Management and Manufacturing'],https://www.linkedin.com/company/gilbarco-veeder-root-latam,Gestão de ativos intangíveis não-financeiros,3,Outras atividades de publicidade não especificadas anteriormente,1
LEME Inteligência Forense,LEME INTELIGENCIA FORENSE E CONSULTORIA EMPRESARIAL LTDA,10.999.476/0001-31,"630,000.00",100 mil – 1 milhão,Serviços combinados de escritório e apoio administrativo,89.00,51–200,"Pinhais, Paraná, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Administrative'],https://www.linkedin.com/company/lemeforense,"Aluguel de objetos do vestuário, jóias e acessórios",1,Atividades de cobrança e informações cadastrais,1
Huisman,HUISMAN DO BRASIL SERVICOS LTDA.,07.004.850/0001-07,"618,408.00",100 mil – 1 milhão,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios","1,136.00",1001-5000,"Navegantes, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}],['Engineering'],https://www.linkedin.com/company/huisman,Produção e promoção de eventos esportivos,1,Comércio atacadista de material elétrico,1
STB Student Travel Bureau,S T B STUDENT TRAVEL BUREAU -VIAGENS E TURISMO LTDA,43.483.122/0001-99,"268,000.00",100 mil – 1 milhão,Agências de viagens,334.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],"['Analyst', 'Management and Manufacturing']",https://www.linkedin.com/company/stb-student-travel-bureau,"Fabricação de tintas, vernizes, esmaltes e lacas",1,"Aluguel de objetos do vestuário, jóias e acessórios",1
Onze,ONZE CORRETORA DE SEGUROS LTDA,29.178.278/0001-35,"142,916,126.00",100 milhões – 1 bilhão,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",156.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],"['Consulting, Analyst, and Customer Service']",https://www.linkedin.com/company/onze-oficial,Manutenção e reparação de veículos ferroviários,1,Produção e promoção de eventos esportivos,1
