Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Fitting,FITTING LTDA,40.840.275/0001-58,"1,000.00",Até 100 mil,Seleção e agenciamento de mão-de-obra,4,0–10,"Balneário Camboriú, Santa Catarina",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Administrative'],,,,
Drogaria Venancio,VENANCIO PRODUTOS FARMACEUTICOS LTDA.,00.285.753/0001-90,"305,970,312.00",100 milhões – 1 bilhão,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",3545,1001-5000,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],,,,
Óticas Gassi,LUNETTES OPTICAL LTDA,41.880.818/0001-23,"5,000,000.00",1 – 10 milhões,Comércio varejista de artigos de óptica,617,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],['Legal'],,,,
Fretadão,FRETADAO TECNOLOGIA S.A.,24.672.366/0001-75,"21,037,466.00",10 – 100 milhões,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",190,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Marketing and Sales'],,,,
VR,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A,02.535.864/0001-33,"449,185,840.46",100 milhões – 1 bilhão,"Emissão de vales-alimentação, vales-transporte e similares",2114,1001-5000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Management and Manufacturing'],,,,
ClickBus,BUS SERVICOS DE AGENDAMENTO S.A.,17.289.475/0001-42,"43,417,145.41",10 – 100 milhões,Serviços de reservas e outros serviços de turismo não especificados anteriormente,233,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Other'],,,,
Magis5,MG5 INOVACAO E TECNOLOGIA LTDA,32.597.302/0001-85,"7,952,885.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,114,51–200,"Rio Claro, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],,,,
Ume,UME DESENVOLVIMENTO DE SOFTWARE LTDA,29.311.808/0001-71,"105,670,270.00",100 milhões – 1 bilhão,Correspondentes de instituições financeiras,309,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],"['Administrative', 'Sales and Management']",,,,
Alife Nino,Não encontrado,35.962.527/0001-00,Não encontrado,Acima de 1 bilhão,Não encontrado,408,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Management and Manufacturing'],,,,
Dattos,DATTOS S.A.,12.962.907/0001-10,"22,505,833.00",10 – 100 milhões,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",91,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],['Information Technology'],,,,
Rinen,RINEN - INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA.,64.170.582/0001-37,"500,000.00",100 mil – 1 milhão,Fabricação de outros produtos químicos não especificados anteriormente,71,51–200,"Saltinho, São Paulo",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],['Administrative'],,,,
Mobiis,MOBIIS SERVICOS DE TECNOLOGIA E PARTICIPACOES S.A.,51.733.149/0001-10,"53,807,960.00",10 – 100 milhões,Consultoria em tecnologia da informação,122,51–200,"Campinas, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],['Finance'],,,,
Cliniconect,CLINICONECT SOLUCOES TECNOLOGICAS LTDA,31.162.567/0001-98,"10,000.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,7,0–10,"Londrina, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Sales and Business Development'],,,,
PACCO,LINEUP IMPORTACAO E DISTRIBUICAO SA,17.132.988/0001-45,"450,000.00",100 mil – 1 milhão,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",175,51–200,"Barueri, SP",[{'job_industry_list': {'industry': 'Manufacturing'}}],['Other'],,,,
Tecnofit,TECNOFIT TECNOLOGIA E SISTEMAS S/A,21.231.459/0001-76,"27,560.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,141,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],,,,
HTB,HTB ENGENHARIA E CONSTRUCAO S.A.,61.037.537/0001-10,"49,799,244.00",10 – 100 milhões,Construção de edifícios,1555,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Construction'}}],['Other'],,,,
BDO Brazil,BDO RCS AUDITORES ASSOCIADOS LTDA,61.065.819/0001-21,"100,000.00",Até 100 mil,Atividades de consultoria e auditoria contábil e tributária,1720,1001-5000,"SP, São Paulo",[{'job_industry_list': {'industry': 'Accounting and Human Resources Services'}}],['Administrative and Customer Service'],,,,
Nutriex,NUTRIEX INDUSTRIA DE COSMETICOS LTDA,15.058.160/0001-69,"1,109,690.00",1 – 10 milhões,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",453,201–500,"Goiânia, Goiás",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],['Other'],,,,
who.,BRT TECNOLOGIA E SISTEMAS LTDA,00.182.213/0001-81,"3,092,000.00",1 – 10 milhões,Consultoria em tecnologia da informação,1245,1001-5000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],,,,
Magnetron Motos,MAGNETRON INDUSTRIA E COMERCIO DE COMPONENTES LTDA,11.493.623/0001-60,"23,010,000.00",10 – 100 milhões,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",135,51–200,"São José dos Pinhais, Paraná",[{'job_industry_list': {'industry': 'Automotive'}}],['Management and Manufacturing'],,,,
Join LinkedIn,ELETROMIDIA S.A.,09.347.516/0001-81,"257,809,216.48",100 milhões – 1 bilhão,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",Não encontrado,+10000,Não encontrada,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],,,,
Eletromidia,FACELL COMERCIO DE CELULARES LTDA,07.366.109/0001-96,"1,000,000.00",100 mil – 1 milhão,Comércio varejista especializado de equipamentos de telefonia e comunicação,868,501–1000,,[{'job_industry_list': {'industry': 'Public Relations and Communications Services'}}],['Other'],,,,
TIM (Facell),FACELL COMERCIO DE CELULARES LTDA,07.366.109/0001-96,"1,000,000.00",100 mil – 1 milhão,Comércio varejista especializado de equipamentos de telefonia e comunicação,229,201–500,"Natal, RN",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Other'],,,,
Gabriel,GABRIEL TECNOLOGIA LTDA,35.996.604/0001-14,"139,415,761.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,424,201–500,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other'],,,,
SYN,SYN PROP E TECH S.A.,08.801.621/0001-86,"903,313,371.00",100 milhões – 1 bilhão,Incorporação de empreendimentos imobiliários,274,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other'],,,,
Privacy,COELHO AGENCIA LTDA,48.771.270/0001-22,"10,000.00",Até 100 mil,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",227,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Finance and Sales'],,,,
Tecidos Kite,KITE TEXTIL LTDA,05.209.640/0001-20,"100,000.00",Até 100 mil,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",93,51–200,"Sao Paulo, SP",[{'job_industry_list': {'industry': 'Retail Apparel and Fashion'}}],['Marketing and Sales'],,,,
Falconi,FALCONI CONSULTORES S.A.,05.485.279/0001-64,"81,134,175.70",10 – 100 milhões,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",1347,1001-5000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Marketing and Sales'],,,,
Seguranca Tratex,SEGURANCA TRATEX LTDA,20.402.046/0001-44,"966,879.00",100 mil – 1 milhão,Atividades de vigilância e segurança privada,10,0–10,,[{'job_industry_list': {'industry': 'Security and Investigations'}}],['Other'],,,,
