Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
RHF Talentos - Unidade Foz do Iguaçu,TL CONSULTORIA EMPRESARIAL LTDA,37.335.534/0001-89,"10,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,9,0–10,"Foz do Iguaçu, Paraná",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Sales and Business Development'],,,,
Join LinkedIn,DEBITT CONTABILIDADE DIGITAL LTDA,42.077.510/0001-07,"26,000.00",Até 100 mil,Atividades de contabilidade,Não encontrado,+10000,Não encontrada,[{'job_industry_list': {'industry': 'Consumer Services'}}],['Supply Chain'],,,,
Debitt Contabilidade,RENTBRELLA BRASIL LTDA,25.020.976/0001-57,"27,178,988.92",10 – 100 milhões,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",12,11–50,"Fortaleza, Ceará",[{'job_industry_list': {'industry': 'Accounting'}}],['Accounting/Auditing and Finance'],,,,
Rentbrella,PRO-GOODS SOLUCOES EM SAUDE E COMERCIO LTDA,19.094.337/0001-33,"3,788,400.00",1 – 10 milhões,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",81,51–200,São Paulo,[{'job_industry_list': {'industry': 'Consumer Services'}}],['Education and Training'],,,,
Life Pet Hub,BIANCA PEREIRA BARRETO,33.611.500/0001-19,"2,000.00",Até 100 mil,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,65,51–200,"Belo Horizonte , MG",[{'job_industry_list': {'industry': 'Veterinary Services'}}],"['Design, Art/Creative, and Information Technology']",,,,
Gerdau,GERDAU S.A.,33.611.500/0001-19,"24,347,290,800.00",Acima de 1 bilhão,"Produção de laminados longos de aço, exceto tubos",21797,+10000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Mining'}}],['Management and Manufacturing'],,,,
Aliant,ALLIANT TECNOLOGIA LTDA,10.424.252/0001-00,"30,000.00",Até 100 mil,Comércio varejista especializado de equipamentos e suprimentos de informática,158,51–200,"Barueri, São Paulo",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Other'],,,,
Viasoft Korp | Industry ERP,VMS SOLUCOES LTDA,13.284.396/0001-98,"20,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,81,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other'],,,,
green4T,GREEN4T SOLUCOES TI LTDA,03.698.620/0001-34,"30,374,717.00",10 – 100 milhões,Outras obras de instalações em construções não especificadas anteriormente,625,501–1000,São Paulo,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],,,,
Sinco,SINCO - SISTEMA INTEGRADO DE COMPRAS LTDA,03.799.666/0001-40,"10,000.00",Até 100 mil,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",440,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Other'],,,,
Alqia,ALQIA ADMINISTRADORA DE CENTROS COMERCIAIS LTDA,07.910.126/0001-42,"1,079,664.00",1 – 10 milhões,Gestão e administração da propriedade imobiliária,412,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other'],,,,
Caloi,CALOI NORTE SA,04.301.024/0001-31,"619,429,040.46",100 milhões – 1 bilhão,"Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios",726,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],['Other'],,,,
Hcor,ASSOCIACAO BENEFICENTE SIRIA,60.453.024/0003-90,0,Até 100 mil,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",3228,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Health Care Provider'],,,,
Bionexo,BIONEXO S.A.,04.069.709/0001-02,"232,993,557.37",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,516,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],,,,
B3,"B3 S.A. - BRASIL, BOLSA, BALCAO",09.346.601/0001-25,"12,548,655,563.88",Acima de 1 bilhão,Bolsa de mercadorias e futuros,4615,1001-5000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],['Management and Manufacturing'],,,,
RenovaBR,ASSOCIACAO RENOVA BR,29.268.394/0001-45,0,Até 100 mil,Atividades associativas não especificadas anteriormente,88,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Education and Training'],,,,
Mtrix,M-TRIX TECNOLOGIA E SERVICOS DE MARKETING S.A,12.363.700/0001-20,"100,000.00",Até 100 mil,Pesquisas de mercado e de opinião pública,184,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Market Research'}}],['Other'],,,,
Conta Simples,CONTA SIMPLES SOLUCOES DE PAGAMENTOS LTDA,32.273.196/0001-84,"141,229,231.00",100 milhões – 1 bilhão,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,326,201–500,"Brooklin / São Paulo, SP",[{'job_industry_list': {'industry': 'Banking'}}],['Other'],,,,
Medprev,MEDPREV.ONLINE SOLUCOES LTDA,19.258.530/0001-62,"100,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,422,201–500,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Customer Service'],,,,
Radek Systems,RADEK SISTEMAS DE INFORMACAO LTDA,09.062.037/0001-19,"50,000.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,46,11–50,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],,,,
Multiloja,HORFRAN - COMERCIAL ELETRO MOVEIS LTDA,02.869.763/0001-07,"21,224,850.00",10 – 100 milhões,Comércio varejista de móveis,429,201–500,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Retail'}}],['Finance'],,,,
GrupoOrion,ORION ENGENHARIA E TECNOLOGIA S/A,01.011.976/0001-22,"5,000,000.00",1 – 10 milhões,Construção de edifícios,337,201–500,"Brasília, Distrito Federal",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering'],,,,
VIK Tech,VIKTECH S.A.,33.071.116/0001-70,"1,000,000.00",100 mil – 1 milhão,Fornecimento e gestão de recursos humanos para terceiros,327,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Human Resources Services'}}],"['General Business, Management, and Business Development']",,,,
Michelc Assessoria Contábil,MICHELC CONTABILIDADE LTDA,11.328.706/0001-01,"20,000.00",Até 100 mil,Atividades de contabilidade,42,11–50,,[{'job_industry_list': {'industry': 'Accounting'}}],['Accounting/Auditing and Finance'],,,,
Deltec Equipamentos Industriais,DELTEC EQUIPAMENTOS INDUSTRIAIS LIMITADA,55.915.516/0001-58,"5,676,190.00",1 – 10 milhões,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",235,201–500,,[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}],['Management and Manufacturing'],,,,
TPC Logística Inteligente,TPC LOGISTICA SUDESTE S.A,01.544.197/0001-92,"22,320,532.00",10 – 100 milhões,Organização logística do transporte de carga,5330,5001-10000,"São Paulo, São Paulo","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Other'],,,,
Resid Club & Hotels,INSULA DE BUZIOS EMPS HOTELEIROS E TURISTICOS LTDA,27.677.392/0002-65,"7,198,940.00",1 – 10 milhões,Hotéis,58,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Hospitality'}}],['Administrative'],,,,
Indorama Ventures: Indovinya,ULTRAPAR PARTICIPACOES S/A,33.256.439/0001-39,"6,621,751,608.08",Acima de 1 bilhão,Holdings de instituições não-financeiras,1541,1001-5000,"The Woodlands, Texas",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],['Engineering and Information Technology'],,,,
INTERA | Talent Hacking,INTERA TALENT HACKING RECRUTAMENTO LTDA,33.434.173/0001-77,"10,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,140,51–200,"Salvador, Bahia","[{'job_industry_list': {'industry': 'Retail, IT Services and IT Consulting, and Software Development'}}]",['Information Technology and Engineering'],,,,
trinks.com,TRINKS SERVICOS DE INTERNET SA,73.499.238/0001-87,"4,577,733.00",1 – 10 milhões,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",158,51–200,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Marketing and Sales'],,,,
Cortex,CORTEX INTELLIGENCE TECNOLOGIA LTDA,06.068.735/0001-33,"321,199,528.00",100 milhões – 1 bilhão,Desenvolvimento de programas de computador sob encomenda,415,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Software Development'}}],['Education and Training'],,,,
Kryptus Information Security SA (EED),KRYPTUS SEGURANCA DA INFORMACAO S.A.,05.761.098/0001-13,"474,830.00",100 mil – 1 milhão,Comércio varejista especializado de equipamentos e suprimentos de informática,159,51–200,"Campinas, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],,,,
Ademicon,ADEMICON ADMINISTRADORA DE CONSORCIOS S/A,84.911.098/0001-29,"27,976,705.50",10 – 100 milhões,Administração de consórcios para aquisição de bens e direitos,4592,1001-5000,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Financial Services'}}],['Administrative'],,,,
frete.com,FRETES.COM LTDA,17.056.310/0001-20,"10,000.00",Até 100 mil,********,223,201–500,"São Paulo, São Paulo","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Information Technology'],,,,
Leega,LEEGA CONSULTORIA & INFORMATICA LTDA,12.320.788/0001-00,"250,000.00",100 mil – 1 milhão,Consultoria em tecnologia da informação,354,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],,,,
JHSF,JHS F PARTICIPACOES S.A.,08.294.224/0001-65,"1,877,134,488.52",Acima de 1 bilhão,Holdings de instituições não-financeiras,3307,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Real Estate'}}],['Other'],,,,
Unimed Teresina,UNIMED TERESINA COOPERATIVA DE TRABALHO MEDICO,07.241.136/0001-32,"584,597.00",100 mil – 1 milhão,Planos de saúde,935,501–1000,"Teresina, Piauí",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Other'],,,,
market4u,MARKET4U MERCADO AUTONOMO LTDA,30.296.675/0001-90,"2,110,990.00",1 – 10 milhões,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",415,201–500,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],,,,
Avenue,AVENUE SECURITIES DTVM LTDA.,61.384.004/0001-05,"66,531,361.00",10 – 100 milhões,Distribuidoras de títulos e valores mobiliários,871,501–1000,"São Paulo, SP","[{'job_industry_list': {'industry': 'Investment Banking, Financial Services, and Banking'}}]","['Information Technology, Finance, and Engineering']",,,,
Egali Intercâmbio,EGALI INTERCAMBIO LTDA,08.777.465/0001-65,"249,586.00",100 mil – 1 milhão,Agências de viagens,542,501–1000,"Porto Alegre, RS",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Accounting/Auditing and Finance'],,,,
Oficina Conectada,G7 EDITORA E SISTEMAS GERENCIAIS LTDA,27.748.486/0001-05,"1,000,000.00",100 mil – 1 milhão,Edição de livros,46,11–50,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Software Development'}}],['Customer Service'],,,,
Onnitech,ONNITECH BRASIL LTDA,18.974.811/0001-59,"18,622,925.00",10 – 100 milhões,Consultoria em tecnologia da informação,61,51–200,São Paulo,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Quality Assurance'],,,,
Maminfo,MAMINFO SOLUCOES E SERVICOS EM TECNOLOGIA S.A.,03.938.483/0001-68,"1,000,000.00",100 mil – 1 milhão,Comércio varejista especializado de equipamentos e suprimentos de informática,413,201–500,"Campinas, São Paulo",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Administrative'],,,,
Salú,"SAUDE DIGITAL TECNOLOGIA, CONSULTORIA E CORRETAGEM DE SEGUROS LTDA.",36.503.494/0001-74,"1,000.00",Até 100 mil,Atividade médica ambulatorial restrita a consultas,363,201–500,São Paulo,[{'job_industry_list': {'industry': 'Health and Human Services'}}],['Legal'],,,,
Delta DRH,DELTA RECRUTAMENTO SELECAO E TREINAMENTO LTDA,37.263.363/0001-20,"1,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,7,0–10,"NOVA ODESSA, SP",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Other'],,,,
Ecglobal Business,ECGLOBALPANEL BRASIL MARKETING E TECNOLOGIA LTDA,10.446.493/0001-41,"530,000.00",100 mil – 1 milhão,Consultoria em publicidade,101,51–200,"Miami Beach, FL",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],['Research'],,,,
Huntington Medicina Reprodutiva,HUNTINGTON CENTRO DE MEDICINA REPRODUTIVA S.A.,00.655.037/0001-58,"22,900,719.00",10 – 100 milhões,Atividades de reprodução humana assistida,247,201–500,"Sao Paulo, São Paulo",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Administrative'],,,,
Impacto Automação,IMPACTO AUTOMACAO LTDA,12.187.684/0001-61,"30,000.00",Até 100 mil,Comércio varejista especializado de equipamentos e suprimentos de informática,27,11–50,"Vitoria, Espirito Santo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Sales and Business Development'],,,,
Zebrands,ZEBRANDS COMERCIAL LTDA.,42.418.313/0001-04,"24,848,450.00",10 – 100 milhões,Comércio varejista de artigos de colchoaria,415,201–500,"Ciudad de Mexico, CDMX",[{'job_industry_list': {'industry': 'Retail Recyclable Materials & Used Merchandise'}}],['Sales and Business Development'],,,,
Fenix Nefrologia,FENIX SERVICOS MEDICOS LTDA,01.274.856/0001-18,"1,795.00",Até 100 mil,Serviços de diálise e nefrologia,129,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],"['Other, Information Technology, and Management']",,,,
Combrasil,COMBRASIL ALIMENTOS S.A.,01.022.318/0001-36,"58,112,000.00",10 – 100 milhões,Serviços combinados de escritório e apoio administrativo,150,51–200,"São José dos Campos, São Paulo",[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],['Sales'],,,,
Empiricus,EMPIRICUS RESEARCH PUBLICACOES S.A.,11.431.155/0001-07,"231,342,566.00",100 milhões – 1 bilhão,Edição de revistas,272,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Book and Periodical Publishing'}}],"['Finance, Customer Service, and Education']",,,,
Ayvens,ALD AUTOMOTIVE S.A.,07.563.781/0001-71,"364,164,739.00",100 milhões – 1 bilhão,Locação de automóveis sem condutor,9116,5001-10000,,[{'job_industry_list': {'industry': 'Financial Services'}}],['Management and Manufacturing'],,,,
Roeslein & Associates,ROESLEIN BRASIL FABRICACAO DE EQUIPAMENTOS INDUSTRIAIS LTDA,35.828.163/0001-41,"13,789,038.00",10 – 100 milhões,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,579,501–1000,"St. Louis, MO",[{'job_industry_list': {'industry': 'Construction and Industrial Machinery Manufacturing'}}],['Business Development'],,,,
