Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Recruit.me_consultoria,RECRUITMENT - CONSULTORIA EMPRESARIAL LTDA,43.875.455/0001-63,"50,000.00",Até 100 mil,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",1.00,0–10,,[{'job_industry_list': {'industry': 'Real Estate'}}],https://www.linkedin.com/company/recruitme-consultoria,['Business Development'],Outras obras de engenharia civil não especificadas anteriormente,,Outras obras de engenharia civil não especificadas anteriormente,
Cimoagro,CIMOAGRO-COMERCIO E REPRESENTACAO AGROPECUARIA LTDA.,02.523.485/0001-23,"30,000,000.00",10 – 100 milhões,Consultoria em tecnologia da informação,421.00,201–500,"Itápolis, São Paulo",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/cimoagro,['Marketing and Sales'],Comércio varejista de madeira e artefatos,,Comércio varejista de madeira e artefatos,
who.,BRT TECNOLOGIA E SISTEMAS LTDA,00.182.213/0001-81,"3,092,000.00",1 – 10 milhões,Comércio a varejo de pneumáticos e câmaras-de-ar,"1,246.00",1001-5000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/who,['Management and Manufacturing'],Terminais rodoviários e ferroviários,,Terminais rodoviários e ferroviários,
Silcar Pneus,SILCAR PNEUS LTDA,54.376.462/0001-37,"10,000,000.00",1 – 10 milhões,********,206.00,201–500,"Sao Jose do Rio Preto, Sao Paulo",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/silcar-pneus-ltda,['Other'],"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",
Techshop,TECH SHOP INFORMATICA LTDA,01.397.810/0001-96,"20,000.00",Até 100 mil,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",93.00,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Manufacturing'}}],https://www.linkedin.com/company/grupotechshop,['Analyst'],Coleta de resíduos perigosos,,Coleta de resíduos perigosos,
Farmácias Salute,SALUTE - COMERCIO DE MEDICAMENTOS LTDA,01.875.428/0001-40,"40,000.00",Até 100 mil,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",40.00,11–50,"Pato Branco, Paraná",[{'job_industry_list': {'industry': 'Retail Health and Personal Care Products'}}],https://www.linkedin.com/company/farmaciassalute,['Sales'],Comércio atacadista de calçados,,Comércio atacadista de calçados,
Continental,CONTINENTAL BRASIL INDUSTRIA AUTOMOTIVA LTDA,48.754.139/0001-57,"785,036,061.00",100 milhões – 1 bilhão,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,"79,911.00",+10000,"Hannover, Lower Saxony",[{'job_industry_list': {'industry': 'Automotive'}}],https://www.linkedin.com/company/continental,['Supply Chain'],Beneficiamento de minério de metais preciosos,,Beneficiamento de minério de metais preciosos,
PROAUTO Electric,PROAUTO ELECTRIC LTDA,68.912.740/0001-38,"100,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,121.00,51–200,"Sorocaba, SP",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],https://www.linkedin.com/company/proautoelectric,['Management and Manufacturing'],"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",
emiteaí,EMITEAI SOLUCOES EM TECNOLOGIA LTDA,38.306.492/0001-10,"50,000.00",Até 100 mil,Comércio atacadista de produtos alimentícios em geral,46.00,11–50,"Blumenau, SC",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/emiteai,['Project Management and Information Technology'],"Agenciamento de cargas, exceto para o transporte marítimo",,"Agenciamento de cargas, exceto para o transporte marítimo",
Diskpan,COMERCIAL DISKPAN LTDA,02.691.482/0001-07,"2,200,000.00",1 – 10 milhões,Atividades de apoio à agricultura não especificadas anteriormente,115.00,51–200,"Cariacica, Espírito Santo",[{'job_industry_list': {'industry': 'Advertising Services'}}],https://www.linkedin.com/company/comercial-diskpan-ltda,['Marketing and Sales'],Comércio varejista de brinquedos e artigos recreativos,,Comércio varejista de brinquedos e artigos recreativos,
