Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Secret Outlet,SECRET SHOP COMERCIO DE MODA LTDA,11.277.524/0001-40,"3,225,132.00",1 – 10 milhões,Fabricação de medicamentos alopáticos para uso humano,55.00,51–200,,[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/secret-outlet,[],,,,
Catalent,CATALENT BRASIL LTDA.,45.569.555/0001-97,"136,330,880.00",100 milhões – 1 bilhão,"Fabricação de tintas, vernizes, esmaltes e lacas","12,960.00",+10000,"Somerset, NJ",[{'job_industry_list': {'industry': 'Biotechnology Research and Pharmaceutical Manufacturing'}}],https://www.linkedin.com/company/catalent,['Management and Manufacturing'],,,,
Sherwin-Williams,SHERWIN-WILLIAMS DO BRASIL INDUSTRIA E COMERCIO LTDA.,60.872.306/0001-60,"708,321,529.00",100 milhões – 1 bilhão,Fabricação de outros produtos alimentícios não especificados anteriormente,"46,853.00",+10000,"Cleveland, OH",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],https://www.linkedin.com/company/sherwin-williams,['Management and Manufacturing'],,,,
Basecol Mix,BASECOL-MIX INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,10.549.481/0001-42,"500,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,25.00,11–50,"Botucatu, São Paulo",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],https://www.linkedin.com/company/basecolmix,['Production'],,,,
Finanblue,FINANBLUE DO BRASIL LTDA,10.201.257/0001-65,"10,000.00",Até 100 mil,Atividades de apoio à extração de petróleo e gás natural,37.00,11–50,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/grupo-finanblue,['Engineering and Information Technology'],,,,
Perbras,PERBRAS EMPRESA BRASILEIRA DE PERFURACOES LTDA,15.126.451/0001-47,"30,009,016.00",10 – 100 milhões,Fabricação de defensivos agrícolas,"3,347.00",1001-5000,"Catu,  Bahia",[{'job_industry_list': {'industry': 'Oil and Gas'}}],https://www.linkedin.com/company/perbras,['Engineering and Information Technology'],,,,
Simbiose,SIMBIOSE BIOCIENCIAS S/A,08.879.643/0001-69,"1,515,306.00",1 – 10 milhões,Fabricação de produtos diversos não especificados anteriormente,554.00,501–1000,"Cruz Alta , Rio Grande do Sul",[{'job_industry_list': {'industry': 'Biotechnology Research'}}],https://www.linkedin.com/company/simbioseagro,['Business Development and Sales'],,,,
Ambar,AMBAR TECH PARTICIPACOES S.A,17.939.395/0001-95,"292,641,134.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,527.00,501–1000,"São Carlos, São Paulo",[{'job_industry_list': {'industry': 'Civil Engineering'}}],https://www.linkedin.com/company/ambartech,['Other'],,,,
AllStrategy,ALLSTRATEGY SOLUCOES EM INFORMATICA LTDA,05.563.889/0001-39,"500,000.00",100 mil – 1 milhão,Serviços de assistência social sem alojamento,147.00,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/allstrategy,['Engineering and Information Technology'],,,,
Hcor,ASSOCIACAO BENEFICENTE SIRIA,60.453.024/0001-28,0.00,Até 100 mil,Comércio atacadista de produtos odontológicos,"3,228.00",1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/hcor,['Other'],,,,
Dental Paulista,DISTRIBUIDORA DENTAL PAULISTA LTDA,00.207.952/0001-80,"8,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,29.00,11–50,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/dental-paulista,['Sales and Business Development'],,,,
Mercafacil,INOVATECH NETWORK S/A,12.980.776/0001-02,"39,291,052.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,198.00,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/mercafacil,['Other'],,,,
AltoQi,S3ENG - TECNOLOGIA APLICADA A ENGENHARIA LTDA,04.305.879/0001-30,"26,161,617.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,370.00,201–500,"Florianópolis, Santa Catarina",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/altoqi-tecnologia,['Marketing and Sales'],,,,
NEXTI,NEXTI DESENVOLVIMENTO DE SISTEMAS S.A.,25.322.949/0001-39,"49,900,427.00",10 – 100 milhões,Serviços de assistência social sem alojamento,153.00,51–200,"São José, Santa Catarina",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/sejanexti,['Finance and Sales'],,,,
ITEMM - Instituto Técnico Educacional Mirian Menchini,INSTITUTO TECNICO EDUCACIONAL MIRIAN MENCHINI,23.499.413/0001-68,0.00,Até 100 mil,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,213.00,201–500,"Sorocaba, São Paulo",[{'job_industry_list': {'industry': 'Non-profit Organizations'}}],https://www.linkedin.com/company/itemm,['Finance and Sales'],,,,
CASTRO,CASTRO SERVICOS LTDA,54.416.421/0001-27,"150,000.00",100 mil – 1 milhão,Treinamento em desenvolvimento profissional e gerencial,384.00,201–500,,[{'job_industry_list': {'industry': 'Strategic Management Services'}}],https://www.linkedin.com/company/castro,['Other'],,,,
Radar da Gestão,RADAR DA GESTAO LTDA,15.178.126/0001-28,"93,700.00",Até 100 mil,Atividades de apoio à gestão de saúde,30.00,11–50,Curitiba,[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/radardagestao,['Business Development and Sales'],,,,
AdviceHealth,GESTAO OPME LTDA,13.757.898/0001-99,"10,800,000.00",10 – 100 milhões,Desenvolvimento de programas de computador sob encomenda,268.00,201–500,"Florianópolis, SC",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/adviceh,"['Analyst', 'Administrative']",,,,
Raro Labs,RARO RECRUTAMENTO EM TI LTDA.,31.611.467/0001-00,"50,000.00",Até 100 mil,Seleção e agenciamento de mão-de-obra,250.00,201–500,"Belo Horizonte, MG",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/raro-labs,['Information Technology'],,,,
SGF Global,SGF GLOBAL BRASIL RECRUTAMENTO E SELECAO LTDA,26.713.382/0001-94,"352,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,745.00,501–1000,"Hallandale Beach, Florida",[{'job_industry_list': {'industry': 'Staffing and Recruiting'}}],https://www.linkedin.com/company/sgf-global,['Information Technology'],,,,
Sisloc Softwares,SISLOC SOFTWARES LTDA,24.013.278/0001-61,"100,000.00",Até 100 mil,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",159.00,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/sisloc-softwares,['Sales'],,,,
Lafaete Locação,UNIAO COMERCIAL BARAO S/A LOCACAO E EMPREENDIMENTOS,24.013.278/0001-61,"36,000,000.00",10 – 100 milhões,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",506.00,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/lafaetelocacao,['Human Resources'],,,,
MTOWER - Solar lighting towers,UNIAO COMERCIAL BARAO S/A LOCACAO E EMPREENDIMENTOS,51.648.939/0001-06,"36,000,000.00",10 – 100 milhões,********,63.00,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}],https://www.linkedin.com/company/mtowerlight,['Purchasing'],,,,
Contabens,CONTABENS CONTABILIDADE E ADMINISTRACAO DE BENS SC LTDA,16.678.109/0001-12,0.00,Até 100 mil,Comércio varejista de ferragens e ferramentas,139.00,51–200,"Rio do Sul, Santa Catarina",[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/contabens,['Accounting/Auditing'],,,,
DRV Indústrias,DIEGO RICARDO VIEIRA COMERCIO E INDUSTRIA DE FACAS E SERRAS LTDA,16.678.109/0001-12,"440,000.00",100 mil – 1 milhão,Comércio varejista de ferragens e ferramentas,4.00,0–10,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Industrial Machinery Manufacturing'}}],https://www.linkedin.com/company/drv-ind%c3%bastrias,['Management and Manufacturing'],,,,
VRental,VRENTAL LOCACAO DE MAQUINAS E EQUIPAMENTOS S/A,41.570.356/0001-48,"239,169,007.27",100 milhões – 1 bilhão,Atividades de apoio à extração de minerais não metálicos,145.00,51–200,"Indaiatuba, SP",[{'job_industry_list': {'industry': 'Facilities Services'}}],https://www.linkedin.com/company/vrental,['Management and Manufacturing'],,,,
Lhoist,LHOIST DO BRASIL LTDA,01.172.656/0001-54,"44,688,909.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,"3,350.00",1001-5000,"Limelette, Walloon Region","[{'job_industry_list': {'industry': 'Mining, Oil and Gas, and Industrial Machinery Manufacturing'}}]",https://www.linkedin.com/company/lhoist,['Engineering and Information Technology'],,,,
SMARTBREEDER,SMARTBREEDER S.A.,10.792.020/0001-04,"4,999,002.00",1 – 10 milhões,Holdings de instituições não-financeiras,109.00,51–200,"Piracicaba, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/smartbreeder,['Other'],,,,
Henry Schein,HENRY SCHEIN LATIN AMERICA PACIFIC RIM INC.,13.628.842/0001-34,0.00,Até 100 mil,Comércio atacadista de cosméticos e produtos de perfumaria,"10,205.00",+10000,"Melville, NY",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/henry-schein,['Other'],,,,
Donatti Professionale,PROFESSIONALE COSMETICOS LTDA,11.082.936/0001-25,"75,000.00",Até 100 mil,********,64.00,51–200,,[{'job_industry_list': {'industry': 'Cosmetics'}}],https://www.linkedin.com/company/donatti,['Management and Manufacturing'],,,,
Bluetech Films,HELIOBLOCK COMERCIO DE PELICULAS AUTOMOTIVAS LTDA,41.030.548/0002-42,"50,000.00",Até 100 mil,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,46.00,11–50,"Goiânia, Goiás",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],https://www.linkedin.com/company/bluetech-films,['Information Technology'],,,,
VR Painéis Elétricos,VR SERVICES COMERCIO DE PAINEIS ELETRICOS LTDA,35.945.470/0001-02,"120,000.00",100 mil – 1 milhão,Administração de cartões de crédito,139.00,51–200,"São José do Rio Preto, São Paulo",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],https://www.linkedin.com/company/vrpaineiseletricos,['Manufacturing'],,,,
MaisTODOS,ADMINISTRADORA CARTAO DE CREDITO TODOS S.A.,28.101.795/0001-43,"1,388,606.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,207.00,201–500,"Ribeirão Preto, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/maistodos,['Business Development and Sales'],,,,
Bankme.,BANKME S.A.,39.158.212/0001-37,"13,212,215.00",10 – 100 milhões,Testes e análises técnicas,68.00,51–200,"Londrina, Paraná",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/bank-me,['Education and Training'],,,,
Liquitec Transformadores,LIQUITEC TRANSFORMADORES LTDA,24.306.270/0001-93,"1,000,000.00",100 mil – 1 milhão,"Confecção de roupas profissionais, exceto sob medida",14.00,11–50,,[{'job_industry_list': {'industry': 'Repair and Maintenance'}}],https://www.linkedin.com/company/liquitec-transformadores,['Sales and Business Development'],,,,
Funcional Uniformes,FUNCIONAL TECHNOLOGICAL GARMENT LTDA,02.777.319/0001-53,"300,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,5.00,0–10,,[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/funcional-uniformes,['Sales and Management'],,,,
LEVTY,LEVTY SISTEMAS LTDA,35.856.750/0001-44,"1,000,000.00",100 mil – 1 milhão,Incorporação de empreendimentos imobiliários,413.00,201–500,Global,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/levty,['Information Technology'],,,,
FG Empreendimentos,FG PRIME EMPREENDIMENTOS LTDA,04.743.028/0001-70,"17,973,741.00",10 – 100 milhões,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente","1,329.00",1001-5000,"Balneário Camboriú, Santa Catarina",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/fg-empreendimentos,['Engineering and Information Technology'],,,,
Valem,VALEM ADMINISTRADORA DE BENEFICIOS LTDA.,11.340.037/0001-85,"6,000,000.00",1 – 10 milhões,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",115.00,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Facilities Services'}}],https://www.linkedin.com/company/valemadm,['Consulting'],,,,
Dom Atacadista,DOM ATACAREJO S.A.,31.698.759/0001-13,"403,486,992.21",100 milhões – 1 bilhão,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas","1,855.00",1001-5000,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/dom-atacadista,['Other'],,,,
Pharmapele,GRADAR PRODUTOS FARMACEUTICOS LTDA,12.806.626/0001-79,"1,000,000.00",100 mil – 1 milhão,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",644.00,501–1000,"Recife, PE",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/pharmapele,['Other'],,,,
Bruning Tecnometal,BRUNING TECNOMETAL LTDA.,89.673.164/0001-93,"80,000,000.00",10 – 100 milhões,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,"1,576.00",1001-5000,"Panambi, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Mining'}}],https://www.linkedin.com/company/bruning-tecnometal,['Other'],,,,
Brazilian Center for Research in Energy and Materials (CNPEM),CENTRO NACIONAL DE PESQUISA EM ENERGIA E MATERIAIS,01.576.817/0001-75,0.00,Até 100 mil,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios","1,408.00",1001-5000,"Campinas, São Paulo",[{'job_industry_list': {'industry': 'Research Services'}}],https://www.linkedin.com/company/cnpem,"['Research, Analyst, and Information Technology']",,,,
VMI Security,VMI SISTEMAS DE SEGURANCA LTDA,05.293.074/0001-87,"2,182,500.00",1 – 10 milhões,Comércio atacadista de artigos de escritório e de papelaria,317.00,201–500,"Lagoa Santa , Minas Gerais",[{'job_industry_list': {'industry': 'Security and Investigations'}}],https://www.linkedin.com/company/vmi-security,[],,,,
SUMMIT,SUMMIT COMERCIO IMPORTACAO E EXPORTACAO LTDA,73.827.982/0001-63,"2,600,000.00",1 – 10 milhões,Fabricação de produtos de panificação industrial,71.00,51–200,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],https://www.linkedin.com/company/somos-summit,['Business Development and Sales'],,,,
Padaria Real,REAL ALIMENTOS LTDA .,71.451.926/0001-41,"5,877,000.00",1 – 10 milhões,Desenvolvimento de programas de computador sob encomenda,"1,955.00",1001-5000,"Sorocaba, São Paulo",[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],https://www.linkedin.com/company/padaria-real-oficial,['Management and Manufacturing'],,,,
PremierSoft,PREMIERSOFT SOLUCOES EM TECNOLOGIA LTDA,15.051.411/0001-83,"100,000.00",Até 100 mil,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",206.00,201–500,"Blumenau, Santa Catarina",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/premiersoft,['Information Technology'],,,,
Gobrax,GOBRAX SERVICOS EM TECNOLOGIA LTDA,22.280.923/0001-87,"800,000.00",100 mil – 1 milhão,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,115.00,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/gobrax,['Analyst'],,,,
Inffus,INFFUS NEGOCIOS DIGITAIS LTDA.,12.113.035/0001-16,"10,000.00",Até 100 mil,Comércio varejista de artigos de óptica,15.00,11–50,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Marketing Services'}}],https://www.linkedin.com/company/inffus,['Marketing and Sales'],,,,
Tri-Jóia,HIPEROPTICA COMERCIO DE PRODUTOS OPTICOS LTDA,11.095.795/0001-85,"100,000.00",Até 100 mil,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,36.00,11–50,"Novo Hamburgo, RS",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/trijoia,['Human Resources'],,,,
LEANRH,RW FABRICACAO E DISTRIBUICAO DE MAQUINAS E EQUIPAMENTOS LTDA,22.203.983/0001-04,"96,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",1.00,0–10,"Curitiba, PR",[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/leanrh,[],,,,
aTip,ATIP PLATAFORMA TECNOLOGICA E EVENTOS LTDA,44.695.347/0001-71,"10,000.00",Até 100 mil,"Comércio a varejo de automóveis, camionetas e utilitários novos",13.00,11–50,São Paulo,[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/atipio,['Engineering and Information Technology'],,,,
Artvel Chevrolet,"ARTVEL - VEICULOS, PECAS E SERVICOS LTDA.",63.998.314/0001-45,"11,607,350.00",10 – 100 milhões,Consultoria em tecnologia da informação,108.00,51–200,"Mogi Mirim, São Paulo",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],https://www.linkedin.com/company/artvel-chevrolet,['Other'],,,,
Xtreme IT,XTREME CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,12.429.440/0001-48,"100,000.00",Até 100 mil,Transporte rodoviário de produtos perigosos,30.00,11–50,"Indaiatuba, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/xtreme-it,['Information Technology'],,,,
Transjordano,TRANSJORDANO LTDA,02.804.480/0001-79,"16,282,305.00",10 – 100 milhões,Comércio atacadista de cosméticos e produtos de perfumaria,423.00,201–500,"Paulínia, São Paulo",[{'job_industry_list': {'industry': 'Truck Transportation'}}],https://www.linkedin.com/company/transjordano,['Administrative'],,,,
EISEN DISTRIBUIÇÃO ESPECIALIZADA,EISEN DISTRIBUICAO ESPECIALIZADA LTDA,14.008.597/0001-25,"100,000.00",Até 100 mil,Serviços de desenho técnico relacionados à arquitetura e engenharia,66.00,51–200,"Santa Cruz do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Personal Care Product Manufacturing'}}],https://www.linkedin.com/company/eisendistribuicao,['Administrative'],,,,
Tess Projetos,TESS PROJETOS DO PRODUTO LTDA,02.286.980/0001-66,"1,400,000.00",1 – 10 milhões,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",91.00,51–200,"Curitiba, Paraná","[{'job_industry_list': {'industry': 'Appliances, Electrical, and Electronics Manufacturing'}}]",https://www.linkedin.com/company/tess-projetos,['Engineering and Information Technology'],,,,
Smart NX,SMART NX TECNOLOGIA LTDA,27.447.387/0001-85,"630,253.00",100 mil – 1 milhão,Outras obras de engenharia civil não especificadas anteriormente,124.00,51–200,"Juiz de Fora, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/smart-nx,['Other'],,,,
Agrimat,AGRIMAT ENGENHARIA E EMPREENDIMENTOS LTDA,07.095.509/0001-04,"29,159,624.00",10 – 100 milhões,Comércio varejista de madeira e artefatos,187.00,51–200,,[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/agrimat-engenharia,['Other'],,,,
ALLMAD,J.N. MIRANDA LTDA,31.312.608/0001-85,"195,400.00",100 mil – 1 milhão,Seleção e agenciamento de mão-de-obra,50.00,11–50,,[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/allmad-portas-e-pisos,['Management and Manufacturing'],,,,
Empregar,EMPREGAR JA ESTAGIOS E EFETIVOS LTDA,22.369.844/0001-47,"200,000.00",100 mil – 1 milhão,Terminais rodoviários e ferroviários,3.00,0–10,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/empregar,['Management and Manufacturing'],,,,
ONNO Log,ONNO LOGISTICA LTDA.,26.756.350/0001-76,"73,898,000.00",10 – 100 milhões,Edição integrada à impressão de livros,172.00,51–200,"Belo Horizonte, Minas Gerais","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",https://www.linkedin.com/company/onnolog,['Management and Manufacturing'],,,,
IESDE,IESDE BRASIL S/A,03.295.274/0001-43,0.00,Até 100 mil,Atividades de consultoria em gestão empresarial,321.00,201–500,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/iesde,['Accounting/Auditing and Finance'],,,,
Conscer Carreiras,CONSCER CONSULTORIA E TREINAMENTOS LTDA,40.729.306/0001-06,"10,000.00",Até 100 mil,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",2.00,0–10,"são paulo, SP",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/conscercarreiras,['Engineering and Information Technology'],,,,
Burntech,BURNTECH CALDEIRAS E EQUIPAMENTOS LTDA,19.814.487/0001-74,"700,000.00",100 mil – 1 milhão,Coleta de resíduos perigosos,44.00,11–50,"Agrolândia, Santa Catarina",[{'job_industry_list': {'industry': 'Industrial Machinery Manufacturing'}}],https://www.linkedin.com/company/burntech-ind,['Management and Manufacturing'],,,,
Colefar,COLEFAR LTDA,04.962.103/0001-93,"400,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,43.00,11–50,,[{'job_industry_list': {'industry': 'Environmental Services'}}],https://www.linkedin.com/company/colefar,['Other'],,,,
Tecla T,TECLA T DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS LTDA,28.704.142/0001-59,"200,000.00",100 mil – 1 milhão,Comércio atacadista de calçados,211.00,201–500,Fortaleza,[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/tecla-t,['Engineering and Information Technology'],,,,
Arezzo&Co,AZZAS 2154 S.A,16.590.234/0001-76,"2,317,182,381.79",Acima de 1 bilhão,Seleção e agenciamento de mão-de-obra,"4,623.00",1001-5000,"Campo Bom, RS",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/arezzoco,['Sales and Management'],,,,
Caetano Headhunter,FERNANDA RIBEIRO CAETANO,50.330.122/0001-14,"2,000.00",Até 100 mil,"Fabricação de adubos e fertilizantes, exceto organo-minerais",1.00,0–10,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/caetano-headhunter,['Finance'],,,,
Fortgreen,FORTGREEN COMERCIAL AGRICOLA LTDA,06.228.648/0001-04,"164,967,371.00",100 milhões – 1 bilhão,Comércio varejista de artigos do vestuário e acessórios,395.00,201–500,"Paiçandu, Paraná",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/fortgreen,['Other'],,,,
Agora Sou Mãe,AGORA SOU MAE LTDA,16.624.250/0001-32,"10,000.00",Até 100 mil,Comércio por atacado de peças e acessórios novos para veículos automotores,35.00,11–50,"São José, SC",[{'job_industry_list': {'industry': 'Apparel & Fashion'}}],https://www.linkedin.com/company/agorasoum%c3%a3e,['Other'],,,,
Brazmax,BRAZMAX COMERCIO DE PRODUTOS AUTOMOTIVOS LTDA,04.208.093/0001-03,"780,000.00",100 mil – 1 milhão,Beneficiamento de minério de metais preciosos,95.00,51–200,"Simões Filho, Bahia",[{'job_industry_list': {'industry': 'Wholesale Petroleum and Petroleum Products'}}],https://www.linkedin.com/company/brazmax,['Sales'],,,,
Harpia Gold,HARPIA MINERACAO SPE LTDA,47.734.291/0001-05,"10,000.00",Até 100 mil,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",148.00,51–200,"Cuiabá, Mato Grosso",[{'job_industry_list': {'industry': 'Mining'}}],https://www.linkedin.com/company/harpia-gold,['Administrative'],,,,
Xmobots,XMOBOTS AEROESPACIAL E DEFESA LTDA,08.996.487/0001-16,"50,864,095.00",10 – 100 milhões,"Agenciamento de cargas, exceto para o transporte marítimo",577.00,501–1000,"São Carlos, São Paulo",[{'job_industry_list': {'industry': 'Aviation and Aerospace Component Manufacturing'}}],https://www.linkedin.com/company/xmobots,['Education and Training'],,,,
Cargocenter Oficial,CARGOCENTER AGENCIA DE CARGAS LTDA,00.702.501/0001-10,"200,000.00",100 mil – 1 milhão,Comércio varejista de brinquedos e artigos recreativos,49.00,11–50,"Caxias do Sul, Rio Grande do Sul","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",https://www.linkedin.com/company/cargocenteroficial,"['Human Resources', 'Management and Manufacturing']",,,,
Aquarela Parques,AQUARELA PARQUES LTDA,10.433.905/0001-09,"950,000.00",100 mil – 1 milhão,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",73.00,51–200,"Nova Aliança, São Paulo",[{'job_industry_list': {'industry': 'Recreational Facilities'}}],https://www.linkedin.com/company/aquarela-parques,['Other'],,,,
REITERLOG,REITER TRANSPORTES E LOGISTICA LTDA,10.466.983/0001-00,"101,020,000.00",100 milhões – 1 bilhão,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",994.00,501–1000,"Nova Santa Rita, RS","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",https://www.linkedin.com/company/reiterlog,['Management and Manufacturing'],,,,
Expresso Princesa dos Campos,EXPRESSO PRINCESA DOS CAMPOS SA,80.227.796/0001-59,"77,644,982.11",10 – 100 milhões,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",776.00,501–1000,"Ponta Grossa, Paraná",[{'job_industry_list': {'industry': 'Truck Transportation'}}],https://www.linkedin.com/company/expressoprincesadoscampos,['Other'],,,,
DHL Equipamentos,TDL LOCACAO E MANUTENCAO DE MAQUINAS E EQUIPAMENTOS LTDA,14.681.895/0001-81,"1,500,000.00",1 – 10 milhões,Estacionamento de veículos,52.00,51–200,Ananindeua,[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/dhl-equipamentos,['Other'],,,,
Autopark Estacionamentos,AUTOPARK ESTACIONAMENTOS AUTOMOTIVOS LTDA,03.351.542/0001-05,0.00,Até 100 mil,"Sociedades de crédito, financiamento e investimento - financeiras",469.00,201–500,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/autoparkestacionamentos,['Other'],,,,
Golden Cloud Technology,CENTROS DE NEGOCIOS E INVESTIMENTOS LTDA,04.630.858/0001-90,0.00,Até 100 mil,Preparação e fiação de fibras de algodão,159.00,51–200,"Fortaleza, Ceará",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],https://www.linkedin.com/company/goldencloudtech,['Information Technology'],,,,
