Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,Linkedin,Uniue Segmento,Contagem de Segmento,Top Segmento,,,,,,,,,,job_industry_collection,job_functions_collection
Oral Sin,ORAL SIN FRANQUIAS S.A.,17.539.329/0001-28,"300,000.00",100 mil – 1 milhão,Gestão de ativos intangíveis não-financeiros,"1,380.00",1001-5000,"Londrina, Paraná",https://www.linkedin.com/jobs/view/analista-de-recrutamento-e-sele%25C3%25A7%25C3%25A3o-at-oral-sin-4063887994,Edição de livros,1,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",3,,,,,,,,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Sales']
SONDA,SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.,01.937.635/0001-82,"441,297,860.40",100 milhões – 1 bilhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados","14,558.00",+10000,Santiago,https://www.linkedin.com/jobs/view/arquiteto-de-infraestrutura-sr-huawei-at-sonda-4064488195,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,1,Atividades de psicologia e psicanálise,3,,,,,,,,,[{'job_industry_list': {'industry': 'Information Technology & Services'}}],['Information Technology']
Sólides,SOLIDES TECNOLOGIA S/A,10.461.302/0001-10,"150,000,000.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,"1,075.00",1001-5000,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/banco-de-talentos-pcd-at-s%25C3%25B3lides-4056693133,Atividades de práticas integrativas e complementares em saúde humana,1,Desenvolvimento de programas de computador sob encomenda,3,,,,,,,,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Sales']
RH Lótus Solution,LOTUS SOLUTION CONSULTORIA EM RECURSOS HUMANOS E PSICOLOGIA LTDA,23.318.232/0001-98,"15,000.00",Até 100 mil,Seleção e agenciamento de mão-de-obra,4.00,0–10,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-recursos-humanos-at-rh-l%25C3%25B3tus-solution-4060840153,********,173,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,,,,,,,,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Human Resources']
The Goodyear Tire & Rubber Company,THE GOODYEAR TIRE AND RUBBER CO.,05.710.829/0001-00,0.00,Até 100 mil,Holdings de instituições não-financeiras,"27,316.00",+10000,"Akron, OH",https://www.linkedin.com/jobs/view/gerente-de-recursos-humanos-at-the-goodyear-tire-rubber-company-4065599598,Serviços combinados de escritório e apoio administrativo,6,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",3,,,,,,,,,[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],['Human Resources']
Androclinic Brasil,LHP GESTAO A SAUDE LTDA,25.178.600/0001-75,"104,500.00",100 mil – 1 milhão,Atividades de apoio à gestão de saúde,21.00,11–50,"Florianópolis, SC",https://www.linkedin.com/jobs/view/assistente-de-rh-at-androclinic-brasil-4070533264,Comércio varejista de artigos do vestuário e acessórios,4,"Bancos múltiplos, com carteira comercial",2,,,,,,,,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Human Resources']
Multitea Intervenção Comportamental,MULTITEA INTERVENCAO COMPORTAMENTAL MULTIPROFISSIONAL LTDA,42.828.026/0001-72,"24,000.00",Até 100 mil,Atividades de profissionais da área de saúde não especificadas anteriormente,17.00,11–50,"Caxias do Sul, Rio Grande do Sul",https://www.linkedin.com/jobs/view/assistente-terap%25C3%25AAutico-at-multitea-interven%25C3%25A7%25C3%25A3o-comportamental-4068418709,Atividades de contabilidade,4,Gestão de ativos intangíveis não-financeiros,2,,,,,,,,,"[{'job_industry_list': {'industry': 'Physical, Occupational and Speech Therapists'}}]",['Health Care Provider']
Tecno it,"TECNO - IT, TECNOLOGIA, SERVICOS E COMUNICACAO SA",19.354.200/0001-70,"11,000,000.00",10 – 100 milhões,Comércio atacadista de suprimentos para informática,138.00,51–200,"Goiânia, Goiás",https://www.linkedin.com/jobs/view/analista-de-rh-at-tecno-it-4065819371,Comércio atacadista de cosméticos e produtos de perfumaria,1,Seleção e agenciamento de mão-de-obra,2,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Human Resources']
Rede Santa Catarina,ASSOCIACAO CONGREGACAO DE SANTA CATARINA,60.922.168/0001-86,0.00,Até 100 mil,Atividades de apoio à gestão de saúde,"6,940.00",5001-10000,São Paulo,https://www.linkedin.com/jobs/view/t%25C3%25A9cnico-de-engenharia-cl%25C3%25ADnica-at-rede-santa-catarina-4065578565,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",3,Atividades de apoio à gestão de saúde,2,,,,,,,,,[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Management and Manufacturing']
Arco Educação,ARCO EDUCACAO S.A.,20.023.340/0001-45,"3,243,211,251.00",Acima de 1 bilhão,Edição de livros,"2,214.00",1001-5000,São Paulo,https://www.linkedin.com/jobs/view/pessoa-supervisora-de-relacionamento-com-cliente-at-arco-educa%25C3%25A7%25C3%25A3o-4063505980,Atividades de psicologia e psicanálise,3,Comércio atacadista de produtos alimentícios em geral,2,,,,,,,,,[{'job_industry_list': {'industry': 'Primary and Secondary Education'}}],['Other']
